@relation mydata
@attribute A numeric
@attribute R numeric
@attribute N numeric
@attribute D numeric
@attribute C numeric
@attribute E numeric
@attribute Q numeric
@attribute G numeric
@attribute H numeric
@attribute I numeric
@attribute L numeric
@attribute K numeric
@attribute M numeric
@attribute F numeric
@attribute P numeric
@attribute S numeric
@attribute T numeric
@attribute W numeric
@attribute Y numeric
@attribute V numeric
@attribute label string
@data
0.0931034482758621,0.0103448275862069,0.0448275862068966,0.0264367816091954,0.00574712643678161,0.0367816091954023,0.0551724137931034,0.125287356321839,0.00689655172413793,0.0390804597701149,0.0574712643678161,0.00344827586206897,0.00574712643678161,0.0218390804597701,0.0873563218390805,0.209195402298851,0.0862068965517241,0,0.0126436781609195,0.0724137931034483,'Positive'
0.0444711538461538,0.0144230769230769,0.0793269230769231,0.0408653846153846,0.00841346153846154,0.0348557692307692,0.0264423076923077,0.0745192307692308,0.0168269230769231,0.0853365384615385,0.0420673076923077,0.03125,0.0192307692307692,0.0408653846153846,0.046875,0.114182692307692,0.144230769230769,0.00480769230769231,0.046875,0.0841346153846154,'Positive'
0.0865384615384615,0.0456730769230769,0.0456730769230769,0.0673076923076923,0.0144230769230769,0.0336538461538462,0.0360576923076923,0.0889423076923077,0.0288461538461538,0.0625,0.0865384615384615,0.0528846153846154,0.00961538461538462,0.0336538461538462,0.0456730769230769,0.0841346153846154,0.0408653846153846,0.0336538461538462,0.0384615384615385,0.0649038461538462,'Positive'
0.103550295857988,0.0384615384615385,0.0532544378698225,0.0650887573964497,0.00887573964497041,0.0384615384615385,0.0177514792899408,0.0828402366863905,0.0266272189349112,0.0710059171597633,0.0532544378698225,0.0710059171597633,0.0207100591715976,0.029585798816568,0.0384615384615385,0.0739644970414201,0.0680473372781065,0.0118343195266272,0.0355029585798817,0.0917159763313609,'Positive'
0.116465863453815,0.0522088353413655,0.0562248995983936,0.0441767068273092,0.00803212851405622,0.0843373493975904,0.0321285140562249,0.072289156626506,0.0120481927710843,0.0763052208835341,0.0763052208835341,0.0562248995983936,0.00803212851405622,0.0321285140562249,0.0401606425702811,0.0522088353413655,0.0602409638554217,0.0160642570281124,0.0120481927710843,0.0923694779116466,'Positive'
0.118721461187215,0.0296803652968037,0.0410958904109589,0.0662100456621005,0.00684931506849315,0.0662100456621005,0.0342465753424658,0.0799086757990868,0.0159817351598174,0.0639269406392694,0.0844748858447489,0.089041095890411,0.0091324200913242,0.0228310502283105,0.0365296803652968,0.0662100456621005,0.045662100456621,0.0114155251141553,0.0342465753424658,0.0776255707762557,'Positive'
0.0847457627118644,0.0112994350282486,0.0508474576271186,0.0790960451977401,0.0282485875706215,0.0282485875706215,0.0451977401129944,0.096045197740113,0.0225988700564972,0.0395480225988701,0.0395480225988701,0.0338983050847458,0.0282485875706215,0.0508474576271186,0.0338983050847458,0.135593220338983,0.0790960451977401,0.0169491525423729,0.0282485875706215,0.0677966101694915,'Positive'
0.0935672514619883,0.0116959064327485,0.0409356725146199,0.0760233918128655,0.0292397660818713,0.0233918128654971,0.0350877192982456,0.0818713450292398,0.00584795321637427,0.0584795321637427,0.0935672514619883,0.0175438596491228,0.0175438596491228,0.0233918128654971,0.0526315789473684,0.146198830409357,0.0818713450292398,0.0175438596491228,0.0409356725146199,0.0526315789473684,'Positive'
0.0392405063291139,0.0354430379746835,0.0632911392405063,0.0620253164556962,0.0594936708860759,0.110126582278481,0.0392405063291139,0.0531645569620253,0.020253164556962,0.0227848101265823,0.108860759493671,0.136708860759494,0.0113924050632911,0.0240506329113924,0.030379746835443,0.0556962025316456,0.0468354430379747,0.0126582278481013,0.0189873417721519,0.0493670886075949,'Positive'
0.089344262295082,0.00573770491803279,0.019672131147541,0.0295081967213115,0.00573770491803279,0.059016393442623,0.0172131147540984,0.0926229508196721,0.00409836065573771,0.0295081967213115,0.0377049180327869,0.00901639344262295,0.00327868852459016,0.0245901639344262,0.0434426229508197,0.1,0.242622950819672,0.00327868852459016,0.0540983606557377,0.129508196721311,'Positive'
0.0363128491620112,0.0111731843575419,0.058659217877095,0.0502793296089385,0.0223463687150838,0.0391061452513966,0.0251396648044693,0.053072625698324,0.00558659217877095,0.0754189944134078,0.0614525139664804,0.0139664804469274,0.00837988826815642,0.0279329608938547,0.0614525139664804,0.167597765363128,0.153631284916201,0.00279329608938547,0.0502793296089385,0.0754189944134078,'Positive'
0.0429447852760736,0.0306748466257669,0.0828220858895705,0.0460122699386503,0.0153374233128834,0.049079754601227,0.0337423312883436,0.0644171779141104,0.00920245398773006,0.0705521472392638,0.049079754601227,0.0153374233128834,0.0122699386503067,0.0368098159509202,0.049079754601227,0.119631901840491,0.147239263803681,0.00613496932515337,0.0429447852760736,0.0766871165644172,'Positive'
0.0464135021097046,0.0105485232067511,0.0421940928270042,0.0379746835443038,0.00632911392405063,0.0305907172995781,0.0189873417721519,0.0390295358649789,0.00632911392405063,0.0654008438818565,0.0580168776371308,0.0137130801687764,0.00316455696202532,0.0358649789029536,0.060126582278481,0.229957805907173,0.174050632911392,0.00527426160337553,0.0379746835443038,0.0780590717299578,'Positive'
0.0513874614594039,0.0184994861253854,0.0277492291880781,0.0339157245632066,0.00513874614594039,0.0565262076053443,0.00822199383350463,0.092497430626927,0.013360739979445,0.0328879753340185,0.0328879753340185,0.0205549845837616,0.00719424460431655,0.0318602261048304,0.0462487153134635,0.124357656731757,0.198355601233299,0.00102774922918808,0.0503597122302158,0.146968139773895,'Positive'
0.0459770114942529,0.0114942528735632,0.0344827586206897,0,0.0344827586206897,0.0459770114942529,0.0574712643678161,0.0459770114942529,0.0114942528735632,0.0689655172413793,0.0804597701149425,0.0344827586206897,0.0229885057471264,0.0574712643678161,0.0574712643678161,0.149425287356322,0.126436781609195,0,0.0459770114942529,0.0689655172413793,'Positive'
0.0615911035072712,0.00940975192472198,0.0384944396920445,0.0256629597946963,0.029940119760479,0.0727117194183062,0.0153977758768178,0.0325064157399487,0.0076988879384089,0.0359281437125748,0.0325064157399487,0.0265183917878529,0.0111206159110351,0.0256629597946963,0.0419161676646707,0.242087254063302,0.16595380667237,0.0076988879384089,0.0402053036783576,0.076988879384089,'Positive'
0.063643013899049,0.00146305779078274,0.0263350402340892,0.0102414045354792,0.0146305779078274,0.0504754937820044,0.0146305779078274,0.0329188002926116,0.00365764447695684,0.0234089246525238,0.0212143379663497,0.021945866861741,0.00365764447695684,0.0131675201170446,0.104608632040966,0.253840526700805,0.247256766642282,0.00585223116313094,0.0168251645940015,0.0702267739575713,'Positive'
0.0661538461538462,0.0123076923076923,0.0646153846153846,0.0446153846153846,0.0107692307692308,0.0430769230769231,0.0307692307692308,0.0476923076923077,0.0123076923076923,0.0630769230769231,0.0753846153846154,0.0261538461538462,0.0123076923076923,0.06,0.0292307692307692,0.161538461538462,0.136923076923077,0.0107692307692308,0.0415384615384615,0.0507692307692308,'Positive'
